Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-11H,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12A,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12B,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12C,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12D,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12E,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200211-Plate2-12F,Z2622-F40,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11A,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11B,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11C,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11D,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11E,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11F,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11G,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-11H,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12A,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12B,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12C,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12D,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12E,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200218-Plate2-12F,Z2622-F39,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2A,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2B,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2C,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2D,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2E,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2F,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2G,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-2H,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3A,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3B,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3C,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3D,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3E,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3F,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3G,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-3H,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),F5,Z2622-M6,20200303-Plate2-4A,Z2624-F38a,Z2622-M6
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1A,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1B,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1C,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1D,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1E,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20191209-Plate1-1F,Z2622-F1,Z2622-M1
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1C,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1D,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1E,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1F,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1G,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200114-Plate1-1H,Z2622-F1,Z2622-M3
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1A,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1B,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1C,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1D,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1E,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1F,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200121-Plate1-1G,Z2622-F1,Z2622-M4
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1A,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1B,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1C,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1D,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1E,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1F,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1G,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G1,Z2622-F1,20200211-Plate1-1H,Z2622-F1,Z2622-M7
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3C,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3D,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3E,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3F,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3G,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-3H,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-4A,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200114-Plate2-4B,Z2622-F24,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-3E,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-3F,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-3G,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-3H,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4A,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4B,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4C,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4D,Z2622-F22,Z2622-M26a
