"fish_id","mother","father"
"20191209_Plate1_11F","Z2622_F16","Z2622_M16"
"20191209_Plate1_11G","Z2622_F16","Z2622_M16"
"20191209_Plate1_11H","Z2622_F16","Z2622_M16"
"20191209_Plate1_12A","Z2622_F16","Z2622_M16"
"20191209_Plate1_12B","Z2622_F17","Z2622_M17"
"20191209_Plate1_12C","Z2622_F17","Z2622_M17"
"20191209_Plate1_12D","Z2622_F17","Z2622_M17"
"20191209_Plate1_12E","Z2622_F17","Z2622_M17"
"20191209_Plate1_12F","Z2622_F17","Z2622_M17"
"20191209_Plate1_12G","Z2622_F17","Z2622_M17"
"20191209_Plate1_12H","Z2622_F17","Z2622_M17"
"20191209_Plate2_1A","Z2622_F17","Z2622_M17"
"20191209_Plate2_1B","Z2622_F17","Z2622_M17"
"20191209_Plate2_1C","Z2622_F18","Z2622_M18"
"20191209_Plate2_1D","Z2622_F18","Z2622_M18"
"20191209_Plate2_1E","Z2622_F18","Z2622_M18"
"20191209_Plate2_1F","Z2622_F18","Z2622_M18"
"20191209_Plate2_1G","Z2622_F18","Z2622_M18"
"20191209_Plate2_1H","Z2622_F18","Z2622_M18"
"20191209_Plate2_2A","Z2622_F18","Z2622_M18"
"20191209_Plate2_2B","Z2622_F18","Z2622_M18"
"20191209_Plate2_2C","Z2622_F18","Z2622_M18"
"20191209_Plate2_2D","Z2622_F19","Z2622_M19"
"20191209_Plate2_2E","Z2622_F19","Z2622_M19"
"20191209_Plate2_2F","Z2622_F19","Z2622_M19"
"20191209_Plate2_2G","Z2622_F19","Z2622_M19"
"20191209_Plate2_2H","Z2622_F19","Z2622_M19"
"20191209_Plate2_3A","Z2622_F19","Z2622_M19"
"20191209_Plate2_3B","Z2622_F19","Z2622_M19"
"20191209_Plate2_3C","Z2622_F19","Z2622_M19"
"20191209_Plate2_3D","Z2622_F19","Z2622_M19"
"20191209_Plate2_3E","Z2622_F20","Z2622_M20"
"20191209_Plate2_3F","Z2622_F20","Z2622_M20"
"20191209_Plate2_3G","Z2622_F20","Z2622_M20"
"20191209_Plate2_3H","Z2622_F20","Z2622_M20"
"20191209_Plate2_4A","Z2622_F20","Z2622_M20"
"20191209_Plate2_4B","Z2622_F20","Z2622_M20"
"20191209_Plate2_4C","Z2622_F20","Z2622_M20"
"20191209_Plate2_4D","Z2622_F20","Z2622_M20"
"20191209_Plate2_4E","Z2622_F20","Z2622_M20"
"20191209_Plate2_4F","Z2622_F21","Z2622_M21"
"20191209_Plate2_4G","Z2622_F21","Z2622_M21"
"20191209_Plate2_4H","Z2622_F21","Z2622_M21"
"20191209_Plate2_5A","Z2622_F21","Z2622_M21"
"20191209_Plate2_5B","Z2622_F21","Z2622_M21"
"20191209_Plate2_5C","Z2622_F21","Z2622_M21"
"20191209_Plate2_5D","Z2622_F21","Z2622_M21"
"20191209_Plate2_5E","Z2622_F21","Z2622_M21"
"20191209_Plate2_5F","Z2622_F21","Z2622_M21"
"20191209_Plate2_5G","Z2622_F22","Z2622_M22"
"20191209_Plate2_5H","Z2622_F22","Z2622_M22"
"20191209_Plate2_6A","Z2622_F22","Z2622_M22"
"20191209_Plate2_6B","Z2622_F22","Z2622_M22"
"20191209_Plate2_6C","Z2622_F22","Z2622_M22"
"20191209_Plate2_6D","Z2622_F22","Z2622_M22"
"20191209_Plate2_6E","Z2622_F22","Z2622_M22"
"20191209_Plate2_6F","Z2622_F22","Z2622_M22"
"20191209_Plate2_6G","Z2622_F22","Z2622_M22"
"20191209_Plate2_6H","Z2622_F23","Z2622_M23"
"20191209_Plate2_7A","Z2622_F23","Z2622_M23"
"20191209_Plate2_7B","Z2622_F23","Z2622_M23"
